时间,错误量
1557194210757,0
1557194220760,0
1557194230762,0
1557194240763,0
1557194250764,0
1557194264167,0
1557194274167,0
1557194284167,0
1557194294171,0
1557194304173,0
1557194314176,0
1557194324178,0
1557194334183,0
1557194344183,0
1557194354188,0
1557194364194,0
1557194374195,0
1557194384197,0
1557194394203,0
1557194404204,0
1557194414204,0
1557194424209,0
1557194434209,0
1557194444212,0
1557194454215,0
1557194464217,0
1557194474221,0
1557194484226,0
1557194494226,0
1557194504231,0
1557194514233,0
1557194524234,0
1557194534236,0
1557194544240,0
1557194554243,0
1557194564244,0
1557194574249,0
1557194584250,0
1557194594255,0
1557194604257,0
1557194614259,0
1557194624262,0
1557194634266,0
1557194644268,0
1557194654270,0
1557194664276,0
1557194674278,0
1557194684278,0
1557194694285,0
1557194704286,0
1557194714289,0
1557194724293,0
1557194734295,0
1557194744300,0
1557194754303,0
1557194764304,0
1557194774308,0
1557194784309,0
1557194794312,0
1557194804316,0
1557194814318,0
1557194824321,0
1557194834325,0
1557194844326,0
1557194854326,0
1557194864327,0
1557194874332,0
1557194884334,0
1557194894337,0
1557194904343,0
1557194914345,0
1557194924351,0
1557194934355,0
1557194944354,0
1557194954360,0
1557194964365,0
1557194974366,0
1557194984370,0
1557194994372,0
1557195004375,0
1557195014379,0
1557195024380,0
1557195034381,0
1557195044385,0
1557195054389,0
1557195064390,0
1557195074396,0
1557195084402,0
1557195094406,0
1557195104412,0
1557195114418,0
1557195124423,0
1557195134423,0
1557195144425,0
1557195154427,0
1557195164431,0
1557195174437,0
1557195184442,0
1557195194448,0
1557195204452,0
1557195214456,0
1557195224459,0
1557195234463,0
1557195244465,0
1557195254467,0
1557195264471,0
1557195274477,0
1557195284482,0
1557195294489,0
1557195304491,0
1557195314493,0
1557195324497,0
1557195334501,0
1557195344503,0
1557195354504,0
1557195364505,0
1557195374510,0
1557195384511,0
1557195394518,0
1557195404524,0
1557195414524,0
1557195424527,0
1557195434531,0
1557195444535,0
1557195454540,0
1557195464546,0
1557195474547,0
1557195484551,0
1557195494554,0
1557195504556,0
1557195514561,0
1557195524564,0
1557195534565,0
1557195544569,0
1557195554572,0
1557195564573,0
1557195574578,0
1557195584582,0
1557195594590,0
1557195604593,0
1557195614595,0
1557195624601,0
1557195634602,0
1557195644604,0
1557195654607,0
1557195664607,0
1557195674609,0
1557195684613,0
1557195694617,0
1557195704623,0
1557195714629,0
1557195724630,0
1557195734629,0
1557195744635,0
1557195754640,0
1557195764645,0
1557195774650,0
1557195784653,0
1557195794658,0
1557195804658,0
1557195814663,0
1557195824664,0
1557195834666,0
1557195844668,0
1557195854669,0
1557195864673,0
1557195874676,0
1557195884682,0
1557195894688,0
1557195904693,0
1557195914699,0
1557198668436,0
1557198678438,0
1557198688439,0
1557198698443,0
1557198708449,0
1557198718450,0
1557198728454,0
1557198738457,0
1557198748457,0
1557198758462,0
1557198768464,0
1557198778465,0
1557198788466,0
1557198798470,0
1557198808470,0
1557198818473,0
1557198828477,0
1557198838478,0
1557198848485,0
1557198858487,0
1557198868489,0
1557198878493,0
1557198888497,0
1557198898499,0
1557198908503,0
1557198918506,0
1557198928508,0
1557198938509,0
1557198948512,0
1557198958515,0
1557198968518,0
1557198978522,0
1557198988523,0
1557198998530,0
1557199008533,0
1557199018537,0
1557199028540,0
1557199038541,0
1557199048541,0
1557199058545,0
1557199068551,0
1557199078556,0
1557199088561,0
1557199098565,0
1557199108567,0
1557199118571,0
1557199128576,0
1557199138581,0
1557199148582,0
1557199158587,0
1557199168593,0
1557199178594,0
1557199188596,0
1557199198596,0
1557199208598,0
1557199218599,0
1557199228603,0
1557199238608,0
