时间,错误量
1556524891106,0
1556524901109,0
1556524911110,0
1556524921115,0
1556524931116,0
1556524941120,0
1556524951121,0
1556524961123,0
1556524971124,0
1556524981127,0
1556524991129,0
1556525001132,0
1556525011132,0
1556525021135,0
1556525031136,0
1556525041141,0
1556525051142,0
1556525061142,0
1556525071146,0
1556525081151,0
1556525091151,0
1556525101157,0
1556525111161,0
1556525121161,0
1556525131163,0
1556525141163,0
1556525151165,0
1556525161166,0
1556525171167,0
1556525181169,0
1556525191175,0
1556525201178,0
1556525211179,0
1556525221181,0
1556525231187,0
1556525241190,0
1556525251193,0
1556525261195,0
1556525271196,0
1556525281198,0
1556525291200,0
1556525301203,0
1556525311205,0
1556525321207,0
1556525331207,0
1556525341214,0
1556525351215,0
1556525361217,0
1556525371223,0
1556525381230,0
1556525391231,0
1556525401234,0
1556525411235,0
1556525421241,0
1556525431246,0
1556525441248,0
1556525451250,0
1556525461255,0
1556525471256,0
1556525481257,0
1556525491263,0
1556525501264,0
1556525511267,0
1556525521272,0
1556525531272,0
1556525541277,0
1556525551280,0
1556525561284,0
1556525571284,0
1556525581290,0
1556525591291,0
1556525601291,0
1556525611296,0
1556525621298,0
1556525631303,0
1556525641308,0
1556525651309,0
1556525661312,0
1556525671315,0
1556525681319,0
1556525691324,0
1556525701324,0
1556525711327,0
1556525721332,0
1556525731335,0
1556525741341,0
1556525751343,0
1556525761345,0
1556525771347,0
1556525781349,0
1556525791353,0
1556525801359,0
1556525811361,0
1556525821367,0
1556525831370,0
1556525841373,0
1556525851377,0
1556525861377,0
1556525871378,0
1556525881382,0
1556525891386,0
1556525901392,0
1556525911394,0
1556525921400,0
1556525931404,0
1556525941404,0
1556525951410,0
1556525961413,0
1556525971416,0
1556525981416,0
1556525991418,0
1556526001422,0
1556526011427,0
1556526021429,0
1556526031433,0
1556526041434,0
1556526051436,0
1556526061439,0
1556526071442,0
1556526081443,0
1556526091444,0
1556526101449,0
1556526111452,0
1556526121456,0
1556526131461,0
1556526141467,0
1556526151467,0
1556526161472,0
1556526171478,0
1556526181479,0
1556526191479,0
1556526201484,0
1556526211486,0
1556526221491,0
1556526231492,0
1556526241494,0
1556526251494,0
1556526261500,0
1556526271502,0
1556526281506,0
1556526291508,0
1556526301512,0
1556526311513,0
1556526321519,0
1556526331521,0
1556526341522,0
1556526351523,0
1556526361525,0
1556526371527,0
1556526381533,0
1556526391537,0
1556526401543,0
1556526411546,0
1556526421550,0
1556526431554,0
1556526441558,0
1556526451560,0
1556526461562,0
1556526471567,0
1556526481569,0
1556526491570,0
1556526501570,0
1556526511576,0
1556526521580,0
1556526531586,0
1556526541587,0
1556526551588,0
1556526561593,0
1556526571595,0
1556526581599,0
1556526591604,0
1556526601605,0
1556526611606,0
1556526621608,0
1556526631612,0
1556526641614,0
1556526651616,0
1556526661617,0
1556526671621,0
1556526681625,0
1556526691625,0
1556526701629,0
1556526711634,0
1556526721638,0
1556526731638,0
1556526741642,0
1556526751643,0
1556526761648,0
1556526771651,0
1556526781655,0
1556526791659,0
1556526801663,0
1556526811664,0
1556526821666,0
1556526831670,0
1556526841676,0
1556526851677,0
1556526861683,0
1556526871685,0
1556526881691,0
1556526891694,0
1556526901696,0
1556526911697,0
1556526921696,0
1556526931700,0
1556526941703,0
1556526951708,0
1556526961708,0
1556526971715,0
1556526981717,0
1556526991721,0
1556527001724,0
1556527011725,0
1556527021726,0
1556527031727,0
1556527041732,0
1556527051734,0
1556527061737,0
1556527071742,0
1556527081746,0
1556527091750,0
1556527101755,0
1556527111756,0
1556527121759,0
1556527131763,0
1556527141766,0
1556527151767,0
1556527161773,0
1556527171777,0
1556527181778,0
1556527191782,0
1556527201782,0
1556527211783,0
1556527221786,0
1556527231786,0
1556527241786,0
1556527251787,0
1556527261790,0
1556527271794,0
1556527281794,0
1556527291798,0
1556527301802,0
1556527311804,0
1556527321805,0
1556527331806,0
1556527341808,0
1556527351808,0
1556527361809,0
1556527371811,0
1556527381813,0
1556527391813,0
1556527401817,0
1556527411818,0
1556527421819,0
