时间,白屏时间,用户可操作时间,总下载时间
1556524910044,52,53,54
1556524984967,19,20,20
1556524999749,73,75,76
1556525019956,118,129,132
1556525094027,24,25,25
1556525145378,55,72,73
1556525304617,75,77,78
1556525386816,541,546,549
1556525462588,460,469,473
1556526015465,103,105,106
1556528116603,19,20,21
1556528122754,19,21,21
1556528155391,21,22,22
1556530477986,2461,2463,2463
1556530796795,33,35,35
1556530820087,21,23,23
