时间,错误量
1557131735750,0
1557131745751,0
1557131755753,0
1557131765755,0
1557131775760,0
1557131785764,0
1557131795766,0
1557131805769,0
1557131815772,0
1557131825776,0
1557131835779,0
1557131845781,0
1557131855785,0
1557131865789,0
1557131875790,0
1557131885796,0
1557131895802,0
1557131905801,0
1557131915803,0
1557131925804,0
1557131935807,0
1557131945808,0
1557131955814,0
1557131965815,0
1557131975820,0
1557131985821,0
1557131995825,0
1557132005826,0
1557132015830,0
1557132025833,0
1557132035836,0
1557132045842,0
1557132055842,0
1557132065846,0
1557132075850,0
1557132085851,0
1557132095852,0
1557132105858,0
1557132115863,0
1557132125869,0
1557132135873,0
1557132145875,0
1557132155880,0
1557132165883,0
1557132175885,0
1557132185886,0
1557132195890,0
1557132205893,0
1557132215893,0
1557132225899,0
1557132235900,0
1557132245903,0
1557132255909,0
1557132265910,0
1557132275915,0
1557132285916,0
1557132295918,0
1557132305920,0
1557132315924,0
1557132325928,0
1557132335933,0
1557132345935,0
1557132355940,0
1557132365944,0
1557132375948,0
1557132385952,0
1557132395957,0
1557132405961,0
1557132415963,0
1557132425967,0
1557132435970,0
1557132445972,0
1557132455977,0
1557132465980,0
1557132475985,0
1557132485988,0
1557132495989,0
1557132505991,0
1557132515991,0
1557132525996,0
1557132535998,0
1557132545999,0
1557132556004,0
1557132566006,0
1557132576007,0
1557132586008,0
1557132596009,0
1557132606012,0
1557132616013,0
1557132626019,0
1557132636021,0
1557132646022,0
1557132656026,0
1557132666027,0
1557132676029,0
1557132686029,0
1557132696030,0
1557132706030,0
1557132716032,0
1557132726035,0
1557132736038,0
1557132746043,0
1557132756048,0
1557132766048,0
1557132776052,0
1557132786055,0
1557132796057,0
1557132806061,0
1557132816065,0
1557132826071,0
1557132836073,0
1557132846079,0
1557132856080,0
1557132866085,0
1557132876089,0
1557132886097,0
1557132896100,0
1557132906101,0
1557132916102,0
1557132926103,0
1557132936105,0
1557132946107,0
1557132956111,0
1557132966112,0
1557132976116,0
1557132986117,0
1557132996123,0
1557133006124,0
1557133016129,0
1557133026134,0
1557133036135,0
1557133046136,0
1557133056137,0
1557133066139,0
1557133076140,0
1557133086144,0
1557133096144,0
1557133106148,0
1557133116151,0
1557133126156,0
1557133136162,0
1557133146168,0
1557133156170,0
1557133166172,0
1557133176177,0
1557133186178,0
1557133196184,0
1557133206190,0
1557133216195,0
1557133226198,0
1557133236198,0
1557133246199,0
1557133256201,0
1557133266201,0
1557133276206,0
1557133286211,0
1557133296212,0
1557133306215,0
1557133316216,0
1557133326219,0
1557133336219,0
1557133346223,0
1557133356227,0
1557133366227,0
1557133376227,0
1557133386232,0
1557133396237,0
1557133406239,0
1557133416242,0
1557133426244,0
1557133436246,0
1557133446252,0
1557133456254,0
1557133466256,0
1557133476261,0
1557133486262,0
1557133496268,0
1557133506271,0
1557133516271,0
1557133526277,0
1557133536278,0
1557133546284,0
1557133556287,0
1557133566289,0
1557133576290,0
1557133586295,0
1557133596299,0
1557133606301,0
1557133616307,0
1557133626312,0
1557133636316,0
1557133646322,0
1557133656322,0
1557133666323,0
1557133676328,0
1557133686330,0
1557133696330,0
1557133706334,0
1557133716335,0
1557133726338,0
1557133736340,0
1557133746344,0
1557133756346,0
1557133766346,0
1557133776353,0
1557133786357,0
1557133796362,0
1557133806364,0
1557133816368,0
1557133826372,0
1557133836373,0
1557133846374,0
1557133856375,0
1557133866376,0
1557133876376,0
1557133886377,0
1557133896381,0
1557133906382,0
1557133916388,0
1557133926391,0
1557133936392,0
1557133946397,0
1557133956398,0
1557133966405,0
1557133976407,0
1557133986408,0
1557133996414,0
1557134006415,0
1557134016416,0
1557134026417,0
1557134036417,0
1557134046418,0
1557134056420,0
1557134066424,0
1557134076427,0
1557134086427,0
1557134096428,0
1557134106429,0
1557134116430,0
1557134126433,0
1557134136434,0
1557134146438,0
1557134156444,0
1557134166447,0
1557134176448,0
1557134186450,0
1557134196452,0
1557134206453,0
1557134216459,0
1557134226460,0
1557134236466,0
1557134246470,0
1557134256475,0
1557134266477,0
1557134276479,0
1557134286483,0
1557134296485,0
1557134306488,0
1557134316489,0
1557134326494,0
1557134336495,0
1557134346496,0
1557134356498,0
1557134366500,0
1557134376501,0
1557134386503,0
1557134396506,0
1557134406509,0
1557134416513,0
1557134426514,0
1557134436517,0
1557134446520,0
1557134456521,0
1557134466522,0
1557134476523,0
1557134486524,0
1557134496529,0
1557134506533,0
1557134516537,0
1557134526538,0
1557134536545,0
1557134546547,0
1557134556547,0
1557134566547,0
1557134576550,0
1557134586550,0
1557134596555,0
1557134606559,0
1557134616563,0
1557134626564,0
1557134636571,0
1557134646572,0
1557134656575,0
1557134666576,0
1557134676581,0
1557134686586,0
1557134696593,0
1557134706595,0
1557134716596,0
1557134726599,0
1557134736601,0
1557134746606,0
1557134756609,0
1557134766612,0
1557134776616,0
1557134786622,0
1557134796624,0
1557134806629,0
1557134816633,0
1557134826639,0
1557134836641,0
1557134846645,0
1557134856650,0
1557134866651,0
1557134876657,0
1557134886660,0
1557134896665,0
1557134906666,0
1557134916670,0
1557134926675,0
1557134936678,0
1557134946681,0
1557134956683,0
1557134966688,0
1557134976692,0
1557134986696,0
1557134996700,0
1557135006704,0
1557135016709,0
1557135026710,0
1557135036714,0
1557135046715,0
1557135056721,0
1557135066725,0
1557135076728,0
1557135086730,0
1557135096735,0
1557135106739,0
1557135116740,0
1557135126741,0
1557135136744,0
1557135146747,0
1557135156752,0
1557135166755,0
1557135176760,0
1557135186767,0
1557135196770,0
1557135206771,0
1557135216777,0
1557135234803,0
1557135244804,0
1557135254805,0
1557135264808,0
1557135274810,0
1557135284810,0
1557135294812,0
1557135304816,0
1557135314822,0
1557135324826,0
1557135334828,0
1557135344834,0
1557135354839,0
1557135364843,0
1557135374844,0
1557135384846,0
1557135394847,0
1557135404849,0
1557135414853,0
1557135424859,0
1557135441757,0
1557135451757,0
1557135461757,0
1557135471766,0
1557135481764,0
1557135491765,0
1557135501771,0
1557135511774,0
1557135687528,0
1557135687528,0
1557135687529,0
1557135687529,0
1557135687529,0
1557135687529,0
1557135687529,0
1557135687529,0
1557135687529,0
1557135687530,0
1557135687530,0
1557135687530,0
1557135687530,0
1557135687530,0
1557135687531,0
1557135687531,0
1557135687532,0
1557135691827,0
1557135701830,0
1557135711835,0
1557135721837,0
1557135731842,0
1557135741848,0
1557135751852,0
1557135761856,0
1557135771859,0
1557135781861,0
1557135791865,0
1557135801867,0
1557135811870,0
1557135821874,0
1557135831879,0
1557135841883,0
1557135851888,0
1557135861891,0
1557135871894,0
1557135881896,0
1557135891901,0
1557135901902,0
1557135911905,0
1557135921910,0
1557135931911,0
1557135941916,0
1557135951919,0
1557135961919,0
1557135971920,0
1557135981922,0
1557135991925,0
1557136001932,0
1557136011936,0
1557136021941,0
1557136031945,0
1557136041947,0
1557136051948,0
1557136061952,0
1557136071953,0
1557136081955,0
1557136091956,0
1557136101960,0
1557136111961,0
1557136121962,0
1557136131967,0
1557136141968,0
1557136151971,0
1557136161971,0
1557136171976,0
1557136181983,0
1557136191984,0
1557136201988,0
1557136211994,0
1557136222000,0
1557136232003,0
1557136242004,0
1557136252006,0
1557136262007,0
1557136272008,0
1557136282015,0
1557136292017,0
1557136302019,0
1557136312020,0
1557136322022,0
1557136332023,0
1557136342027,0
1557136352029,0
1557136369975,0
1557136389109,0
1557136410409,0
1557136420412,0
1557136430416,0
1557136440412,0
1557136450415,0
1557136460416,0
1557136473446,0
1557136483449,0
1557136493450,0
1557136503454,0
1557136517289,0
1557136527289,0
1557136537291,0
1557136547292,0
1557136557293,0
1557136567299,0
1557136577306,0
1557136587306,0
1557136597307,0
1557136607309,0
1557136617309,0
1557136627309,0
1557136637310,0
1557136647313,0
1557136657316,0
1557136677845,0
1557136687845,0
1557136697850,0
1557136722537,0
1557136732541,0
1557136742545,0
1557136752548,0
1557136762552,0
1557136772552,0
1557136782557,0
1557136792561,0
1557136802562,0
1557136812569,0
1557136822574,0
1557136832579,0
1557136842583,0
1557136852589,0
1557136862594,0
1557136872600,0
1557136882606,0
1557136892612,0
1557136902618,0
1557136912620,0
1557136922622,0
1557136932628,0
1557136942634,0
1557136952639,0
1557136962645,0
1557136972655,0
1557136982662,0
1557144189527,0
1557144199530,0
1557147795236,0
1557147805239,0
1557155010206,0
1557155020198,0
