时间,错误量
1556575395559,0
1556575405460,0
1556575415466,0
1556575425468,0
1556575435469,0
1556586219854,0
1556586229350,0
1556586239353,0
1556586249357,0
1556586259358,0
1556586269364,0
1556586279371,0
1556586289381,0
1556586299390,0
1556586309401,0
1556586319412,0
1556586329413,0
1556586339421,0
1556586349432,0
1556586359438,0
1556586369463,0
1556586379501,0
1556586389489,0
1556586399499,0
1556586409506,0
1556586419516,0
1556586429523,0
1556586439533,0
1556586449540,0
1556586459547,0
1556586469557,0
1556586479569,0
1556586489573,0
1556586499577,0
1556586509582,0
1556586519585,0
1556586529591,0
1556586539596,0
1556586549601,0
1556586559602,0
1556586569606,0
1556586579614,0
1556586589620,0
1556586599624,0
1556586609626,0
1556586619631,0
1556586629634,0
1556586639640,0
1556586649643,0
1556586659648,0
1556586669652,0
1556586679657,0
1556586689660,0
1556586699663,0
1556586709667,0
1556586719669,0
1556586729670,0
1556586739675,0
1556586749676,0
1556586759678,0
1556586769679,0
1556586779679,0
1556586789683,0
1556586799689,0
1556586809689,0
1556586819694,0
1556586829696,0
1556586839701,0
1556586849703,0
1556586859704,0
1556586869707,0
1556586879708,0
1556586889714,0
1556586899720,0
1556586909721,0
1556586919724,0
1556586929730,0
1556586939737,0
1556586949740,0
1556586959746,0
1556586969748,0
1556586979751,0
1556586989755,0
1556586999761,0
1556587009765,0
1556587019771,0
1556587029776,0
1556587039778,0
1556587049783,0
1556587059788,0
1556587069793,0
1556587079797,0
1556587089802,0
1556587099805,0
1556587109811,0
1556587119816,0
1556587129817,0
1556587139822,0
1556587149827,0
1556587159830,0
1556587169830,0
1556587179836,0
1556587189840,0
1556587199843,0
1556587209847,0
1556587219852,0
1556587229853,0
1556587239855,0
1556587249861,0
1556587259862,0
1556587269863,0
1556587279867,0
1556587289869,0
1556587299870,0
1556587309876,0
1556587319878,0
1556587329882,0
1556587339887,0
1556587349891,0
1556587359893,0
1556587369898,0
1556587379902,0
1556587389904,0
1556587399909,0
1556587409915,0
1556587419918,0
1556587429921,0
1556587439922,0
1556587449928,0
1556587459929,0
1556587469935,0
1556587479938,0
1556587489939,0
1556587499944,0
1556587509949,0
1556587519955,0
1556587529957,0
1556587539961,0
1556587549965,0
1556587559967,0
1556587569969,0
1556587579974,0
1556587589977,0
1556587599980,0
1556587609986,0
1556587619987,0
1556587629991,0
1556587639992,0
1556587649995,0
1556587660001,0
1556587670003,0
1556587680004,0
1556587690007,0
1556587700008,0
1556587710009,0
1556587720012,0
1556587730014,0
1556587740015,0
1556587750016,0
1556587760017,0
1556587770021,0
1556587780024,0
1556587790028,0
1556587800033,0
1556587810034,0
1556587820038,0
1556587830041,0
1556587840044,0
1556587850048,0
1556587860049,0
1556587870053,0
1556587880064,0
1556587890064,0
1556587900067,0
1556587910067,0
1556587920069,0
1556587930071,0
1556587940075,0
1556587950079,0
1556587960081,0
1556587970083,0
1556587980088,0
1556587990090,0
1556588000093,0
1556588010096,0
1556588020098,0
1556588030099,0
1556588040103,0
1556588050104,0
1556588060111,0
1556588070113,0
1556588080114,0
1556588090115,0
1556588100121,0
1556588110127,0
1556588120131,0
1556588130132,0
1556588140138,0
1556588150138,0
1556588160141,0
1556588170146,0
1556588180148,0
1556588190148,0
1556588200151,0
1556588210156,0
1556588220159,0
1556588230165,0
1556588240168,0
1556588250170,0
1556588260171,0
1556588270176,0
1556588280179,0
1556588290177,0
1556588300182,0
1556588310185,0
1556588320188,0
1556588330190,0
1556588340191,0
1556588350195,0
1556588360197,0
1556588370201,0
1556588380205,0
1556588390206,0
1556588400212,0
1556588410218,0
1556588420220,0
1556588430222,0
1556588440227,0
1556588450228,0
1556588460229,0
1556588470229,0
1556588480232,0
1556588490233,0
1556588500237,0
1556588510240,0
1556588520241,0
1556588530245,0
1556588540245,0
1556588550247,0
1556588560249,0
1556588570251,0
1556588580251,0
1556588590251,0
1556588600253,0
1556588610254,0
1556588620256,0
1556588630257,0
1556588640258,0
1556588650259,0
1556588660260,0
1556588670265,0
1556588680266,0
1556588690267,0
1556588700270,0
1556588710271,0
1556588720275,0
1556588730279,0
1556588740279,0
1556588750280,0
1556588760285,0
1556588770287,0
1556588780288,0
1556588790292,0
1556588800293,0
1556588810298,0
1556588820303,0
1556588830304,0
1556588840308,0
1556588850309,0
1556588860312,0
1556588870318,0
1556588880323,0
1556588890325,0
1556588900329,0
1556588910335,0
1556588920341,0
1556588930344,0
1556588940347,0
1556588950348,0
1556588960350,0
1556588970355,0
1556588980361,0
1556588990362,0
1556589000366,0
1556589010371,0
1556589020377,0
1556589030379,0
1556589040381,0
1556589050387,0
1556589060389,0
1556589070395,0
1556589080396,0
1556589090402,0
1556589100408,0
1556589110411,0
1556589120411,0
1556589130414,0
1556589140419,0
1556589150425,0
1556589160427,0
1556589170427,0
1556589180427,0
1556589190431,0
1556589200437,0
1556589210443,0
1556589220444,0
1556589230450,0
1556589240451,0
1556589250461,0
1556589260472,0
1556589270477,0
1556589280482,0
1556589290494,0
1556589300495,0
1556589310497,0
1556589320504,0
1556589330509,0
1556589340517,0
1556589350526,0
1556589360533,0
1556589370542,0
1556589380551,0
1556589390558,0
1556589400567,0
1556589410575,0
1556589420581,0
1556589430591,0
1556589440601,0
1556589450608,0
1556589460618,0
1556589470625,0
1556589480635,0
1556589490643,0
1556589500652,0
1556589510659,0
1556589520666,0
1556589530674,0
1556589540674,0
1556589550684,0
1556589560690,0
1556589570701,0
1556589580703,0
1556589590706,0
1556589600712,0
1556589610721,0
1556589620730,0
1556589630732,0
1556589640737,0
1556589650748,0
1556589660755,0
1556589670756,0
1556589680767,0
1556589690771,0
1556589700782,0
1556589710787,0
1556589720798,0
1556589730804,0
1556589740805,0
1556589750817,0
1556589760820,0
1556589770831,0
1556589780837,0
1556589790847,0
1556589800853,0
1556589810860,0
1556589820869,0
1556589830880,0
1556589840890,0
1556589850900,0
1556589860909,0
1556590730028,0
1556590740036,0
1556590750038,0
1556590760044,0
1556590770050,0
1556591627005,0
1556591637007,0
1556591647012,0
1556591657015,0
1556591667021,0
1556591677025,0
1556591687028,0
1556591697032,0
1556591707034,0
1556591717039,0
1556591727041,0
1556591737043,0
1556591747049,0
1556591757051,0
1556591767052,0
1556591777052,0
1556591787054,0
1556591797057,0
1556591807061,0
1556591817071,0
1556591839004,0
1556591849011,0
1556591859012,0
1556591869013,0
1556591879018,0
1556591889019,0
1556591899020,0
1556591909021,0
1556591919022,0
1556591929024,0
1556591939029,0
1556591949032,0
1556591959033,0
1556591969033,0
1556591979034,0
1556591989035,0
1556591999037,0
1556592009040,0
1556592019042,0
1556592029043,0
1556592039047,0
1556592049048,0
1556592059049,0
1556592069050,0
1556592079053,0
1556592089059,0
1556592099061,0
1556592109062,0
1556592119067,0
1556592129068,0
1556592139069,0
1556592149070,0
1556592159076,0
1556592169077,0
1556592179079,0
1556592189083,0
1556592199084,0
1556592209089,0
1556592219091,0
1556592229091,0
1556592239097,0
1556592249098,0
1556592259099,0
1556592269100,0
1556592279101,0
1556592289103,0
1556592299103,0
1556592309106,0
1556592319106,0
1556592329111,0
1556592339117,0
1556592349118,0
1556592359123,0
1556592369128,0
1556592379130,0
1556592389134,0
1556592399136,0
1556592409137,0
1556592419141,0
1556592429144,0
1556592439145,0
1556592449150,0
1556592459153,0
1556592469154,0
1556592479162,0
1556592563594,0
1556592573595,0
1556592583601,0
1556592593603,0
1556592603603,0
1556592613609,0
1556592623613,0
1556592633613,0
1556592643618,0
1556592653624,0
1556592663624,0
1556592673627,0
1556592683629,0
1556592693630,0
1556592703631,0
1556592713633,0
1556592723635,0
1556592733636,0
1556592743637,0
