时间,白屏时间,用户可操作时间,总下载时间
1557193058312,54,56,57
1557194262915,27,28,29
1557194309680,14,15,16
1557198693560,38,40,40
1557198888501,55,56,57
1557199031817,19,4021,4021
1557199055160,29,30,30
1557199066060,21,22,23
